legend,step,pwr,,76.1077233333334
Minimum,570,75.13,,
Minimum,571,76.4,,
Minimum,572,75.67,,
Minimum,573,75.38,,
Minimum,574,75.77,,
Minimum,575,76.26,,
Minimum,576,76.15,,
Minimum,577,76.67,,
Minimum,578,75.74,,
Minimum,579,76.51,,
Minimum,580,74.23,,
Minimum,581,76.59,,
Minimum,582,77.13,,
Minimum,583,76.7,,
Minimum,584,75.08,,
Minimum,585,77.1,,
Minimum,586,76.44,,
Minimum,587,76.03,,
Minimum,588,76.88,,
Minimum,589,77.84,,
Minimum,590,77.1,,
Minimum,591,76.03,,
Minimum,592,75.89,,
Minimum,593,77.54,,
Minimum,594,75.43,,
Minimum,595,76.28,,
Minimum,596,75.79,,
Minimum,597,74.99,,
Minimum,598,74.92,,
Minimum,599,75.08,,
Minimum,600,75.92,,
Minimum,601,74.81,,
Minimum,602,75.14,,
Minimum,603,76.65,,
Minimum,604,76.8,,
Minimum,605,76.89,,
Minimum,606,77.98,,
Minimum,607,78.08,,
Minimum,608,77.76,,
Minimum,609,76.98,,
Minimum,610,77.02,,
Minimum,611,76.48,,
Minimum,612,76.78,,
Minimum,613,76.99,,
Minimum,614,76.8,,
Minimum,615,75.02,,
Minimum,616,76.44,,
Minimum,617,74.72,,
Minimum,618,75.32,,
Minimum,619,75.37,,
Minimum,620,75.74,,
Minimum,621,74.43,,
Minimum,622,73.99,,
Minimum,623,75.38,,
Minimum,624,74.18,,
Minimum,625,76.77,,
Minimum,626,75.91,,
Minimum,627,75.81,,
Minimum,628,75.51,,
Minimum,629,76.56,,
Minimum,630,76.33,,
Minimum,631,76.28,,
Minimum,632,76.54,,
Minimum,633,76.59,,
Minimum,634,76.67,,
Minimum,635,74.3,,
Minimum,636,76.46,,
Minimum,637,74.1,,
Minimum,638,76.59,,
Minimum,639,75.6,,
Minimum,640,75.61,,
Minimum,641,76.29,,
Minimum,642,78.4,,
Minimum,643,77.71,,
Minimum,644,77.39,,
Minimum,645,77.95,,
Minimum,646,76.9,,
Minimum,647,76.31,,
Minimum,648,76.16,,
Minimum,649,76.72,,
Minimum,650,77.2,,
Minimum,651,77.1,,
Minimum,652,77.54,,
Minimum,653,77.41,,
Minimum,654,74.88,,
Minimum,655,76.54,,
Minimum,656,75.1,,
Minimum,657,74.56,,
Minimum,658,75.66,,
Minimum,659,74.68,,
Minimum,660,75.9,,
Minimum,661,75.23,,
Minimum,662,76.14,,
Minimum,663,74.73,,
Minimum,664,76.1,,
Minimum,665,74.09,,
Minimum,666,75.92,,
Minimum,667,76.81,,
Minimum,668,74.98,,
Minimum,669,74.82,,
Minimum,670,75.5,,
Minimum,671,76.65,,
Minimum,672,74.48,,
Minimum,673,74.8,,
Minimum,674,74.93,,
Minimum,675,75.85,,
Minimum,676,76.53,,
Minimum,677,75.49,,
Minimum,678,74.43,,
Minimum,679,76.33,,
Minimum,680,76.74,,
Minimum,681,77.31,,
Minimum,682,75.17,,
Minimum,683,75.74,,
Minimum,684,74.89,,
Minimum,685,77.69,,
Minimum,686,74.86,,
Minimum,687,76.34,,
Minimum,688,74.3,,
Minimum,689,75.23,,
Minimum,690,75.54,,
Minimum,691,76.1,,
Minimum,692,75.31,,
Minimum,693,75.18,,
Minimum,694,77.66,,
Minimum,695,74.27,,
Minimum,696,74.51,,
Minimum,697,77.04,,
Minimum,698,74.3,,
Minimum,699,75.61,,
Minimum,700,76.6,,
Minimum,701,75.81,,
Minimum,702,75.62,,
Minimum,703,74.87,,
Minimum,704,75.84,,
Minimum,705,76.26,,
Minimum,706,75.62,,
Minimum,707,74.4,,
Minimum,708,76.26,,
Minimum,709,75.58,,
Minimum,710,75.08,,
Minimum,711,75.83,,
Minimum,712,75.84,,
Minimum,713,73.73,,
Minimum,714,75.25,,
Minimum,715,76.42,,
