legend,step,pwr
Minimum,960,74.2
Minimum,961,74.69
Minimum,962,73.99
Minimum,963,74.7
Minimum,964,74.0
Minimum,965,74.32
Minimum,966,74.79
Minimum,967,76.14
Minimum,968,73.66
Minimum,969,75.39
Minimum,970,74.22
Minimum,971,74.45
Minimum,972,74.05
Minimum,973,74.9
Minimum,974,74.42
Minimum,975,74.75
Minimum,976,74.67
Minimum,977,73.5
Minimum,978,75.2
Minimum,979,74.24
Minimum,980,75.81
Minimum,981,73.47
Minimum,982,75.77
Minimum,983,75.05
Minimum,984,74.02
Minimum,985,74.23
Minimum,986,75.58
Minimum,987,73.87
Minimum,988,75.37
Minimum,989,74.37
Minimum,990,74.65
Minimum,991,74.47
Minimum,992,74.25
Minimum,993,75.31
Minimum,994,74.1
Minimum,995,74.82
Minimum,996,75.04
Minimum,997,75.73
Minimum,998,75.32
Minimum,999,74.13
Minimum,1000,74.44
Minimum,1001,73.53
Minimum,1002,74.53
Minimum,1003,74.13
Minimum,1004,74.27
Minimum,1005,75.73
Minimum,1006,76.05
Minimum,1007,75.0
Minimum,1008,74.1
Minimum,1009,74.9
Minimum,1010,74.8
Minimum,1011,74.55
Minimum,1012,75.21
Minimum,1013,74.06
Minimum,1014,74.31
Minimum,1015,74.28
Minimum,1016,74.7
Minimum,1017,75.01
Minimum,1018,74.71
Minimum,1019,73.92
Minimum,1020,74.66
Minimum,1021,75.56
Minimum,1022,74.07
Minimum,1023,74.25
Minimum,1024,74.54
Minimum,1025,74.45
Minimum,1026,74.49
Minimum,1027,74.3
Minimum,1028,74.51
Minimum,1029,73.45
Minimum,1030,75.36
Minimum,1031,74.9
Minimum,1032,75.02
Minimum,1033,74.24
Minimum,1034,74.08
Minimum,1035,76.36
Minimum,1036,74.63
Minimum,1037,74.38
Minimum,1038,74.28
Minimum,1039,74.13
Minimum,1040,76.0
Minimum,1041,74.31
Minimum,1042,75.07
Minimum,1043,74.16
Minimum,1044,74.9
Minimum,1045,76.31
Minimum,1046,73.85
Minimum,1047,74.1
Minimum,1048,74.51
Minimum,1049,74.79
Minimum,1050,73.87
Minimum,1051,74.18
Minimum,1052,75.2
Minimum,1053,73.6
Minimum,1054,73.61
Minimum,1055,75.6
Minimum,1056,74.59
Minimum,1057,74.91
Minimum,1058,73.99
Minimum,1059,74.97
Minimum,1060,73.28
Minimum,1061,76.0
Minimum,1062,73.88
Minimum,1063,75.0
Minimum,1064,74.31
Minimum,1065,73.62
Minimum,1066,75.07
Minimum,1067,74.05
Minimum,1068,75.57
Minimum,1069,76.07
Minimum,1070,73.88
Minimum,1071,74.72
Minimum,1072,73.97
Minimum,1073,74.54
Minimum,1074,77.06
Minimum,1075,73.99
Minimum,1076,74.27
Minimum,1077,74.22
Minimum,1078,75.56
Minimum,1079,74.21
Minimum,1080,73.81
Minimum,1081,74.63
Minimum,1082,73.87
Minimum,1083,75.36
Minimum,1084,74.97
Minimum,1085,74.0
