seed,legend,step,snr,action_mcs,action_prb,mcs,prb,pwr,tbs,cum_regret,avg_regret
42,VITS - eta: 10,138,0.65384614,26.0,100.0,11.0,99.0,0.47500667,0.6656,7194.303,59.68856
42,VITS - eta: 10,139,0.625,18.0,60.0,11.0,59.0,0.36580834,0.40133333,7241.921,47.61771
42,VITS - eta: 10,140,0.63461536,15.0,70.0,12.0,69.0,0.45547304,0.53786665,7294.818,52.897198
42,VITS - eta: 10,141,0.6442308,10.0,95.0,10.0,94.0,0.4403684,0.5808,7347.991,53.173286
42,VITS - eta: 10,142,0.63461536,22.0,50.0,11.0,50.0,0.32885715,0.3416,7394.616,46.625126
42,VITS - eta: 10,143,0.63461536,16.0,80.0,11.0,79.0,0.45548588,0.53786665,7444.0923,49.475853
42,VITS - eta: 10,144,0.6442308,23.0,80.0,12.0,79.0,0.4355857,0.6144,7509.1084,65.01612
42,VITS - eta: 10,145,0.63461536,22.0,70.0,12.0,69.0,0.45547304,0.53786665,7579.73,70.6217
42,VITS - eta: 10,146,0.63461536,23.0,100.0,12.0,99.0,0.50975555,0.768,7627.3525,47.62258
42,VITS - eta: 10,147,0.61538464,18.0,105.0,13.0,64.0,0.29607156,0.5632,7653.6245,26.272028
42,VITS - eta: 10,148,0.63461536,25.0,75.0,13.0,75.0,0.458325,0.6656,7674.2837,20.659174
42,VITS - eta: 10,149,0.6442308,12.0,65.0,12.0,65.0,0.4294143,0.50373334,7694.087,19.803255
42,VITS - eta: 10,150,0.63461536,20.0,80.0,12.0,80.0,0.46566564,0.632,7716.7173,22.630419
42,VITS - eta: 10,151,0.63461536,24.0,80.0,13.0,71.0,0.46170768,0.632,7739.1846,22.46734
42,VITS - eta: 10,152,0.6442308,28.0,95.0,13.0,95.0,0.5344857,0.8368,7762.3726,23.188206
42,VITS - eta: 10,153,0.625,16.0,50.0,13.0,49.0,0.38812158,0.42693335,7786.8267,24.454138
42,VITS - eta: 10,154,0.625,29.0,55.0,14.0,54.0,0.44436523,0.53786665,7816.692,29.865389
42,VITS - eta: 10,155,0.65384614,17.0,105.0,14.0,98.0,0.5096,0.9730667,7845.8774,29.185606
42,VITS - eta: 10,156,0.625,21.0,100.0,15.0,98.0,0.27177563,1.0413333,7867.7603,21.882998
42,VITS - eta: 10,157,0.6442308,13.0,85.0,13.0,85.0,0.50740385,0.7512,7893.765,26.004795
42,VITS - eta: 10,158,0.63461536,23.0,75.0,13.0,75.0,0.458325,0.6656,7914.8926,21.127502
42,VITS - eta: 10,159,0.63461536,19.0,75.0,14.0,75.0,0.49677253,0.7512,7935.5986,20.705841
42,VITS - eta: 10,160,0.625,26.0,70.0,14.0,70.0,0.45908487,0.7,7958.41,22.811312
42,VITS - eta: 10,161,0.63461536,14.0,90.0,14.0,90.0,0.4674143,0.88773334,7983.1616,24.751299
42,VITS - eta: 10,162,0.63461536,16.0,100.0,14.0,99.0,0.5096,0.99013335,8005.825,22.663568
42,VITS - eta: 10,163,0.63461536,17.0,60.0,15.0,52.0,0.42505062,0.5808,8029.338,23.51287
42,VITS - eta: 10,164,0.6442308,11.0,100.0,11.0,100.0,0.4658375,0.6832,8049.7876,20.449509
42,VITS - eta: 10,165,0.6442308,25.0,100.0,11.0,100.0,0.4746684,0.6832,8069.9653,20.177969
42,VITS - eta: 10,166,0.63461536,28.0,85.0,12.0,85.0,0.46817097,0.6656,8092.331,22.365711
42,VITS - eta: 10,167,0.6442308,24.0,90.0,12.0,89.0,0.47401112,0.7,8115.2515,22.920408
42,VITS - eta: 10,168,0.63461536,27.0,90.0,13.0,90.0,0.53296,0.7856,8138.2183,22.96661
42,VITS - eta: 10,169,0.61538464,14.0,75.0,13.0,35.0,0.29727852,0.30746666,8160.9478,22.72943
42,VITS - eta: 10,170,0.63461536,24.0,50.0,14.0,49.0,0.38812158,0.48666668,8182.394,21.446495
42,VITS - eta: 10,171,0.6442308,10.0,90.0,10.0,90.0,0.45554566,0.5464,8206.169,23.775183
42,VITS - eta: 10,172,0.63461536,18.0,70.0,10.0,69.0,0.36642855,0.4184,8230.634,24.46509
42,VITS - eta: 10,173,0.63461536,13.0,75.0,11.0,74.0,0.43245918,0.50373334,8266.306,35.671436
42,VITS - eta: 10,174,0.6442308,9.0,100.0,9.0,99.0,0.38978,0.5976,8305.826,39.52086
42,VITS - eta: 10,175,0.6442308,27.0,105.0,10.0,105.0,0.47500667,0.6488,8334.419,28.592525
42,VITS - eta: 10,176,0.61538464,9.0,50.0,9.0,49.0,0.26365,0.29893333,8362.61,28.191864
42,VITS - eta: 10,177,0.6442308,22.0,95.0,10.0,94.0,0.3125,0.5808,8405.932,43.32158
42,VITS - eta: 10,178,0.6442308,27.0,95.0,10.0,94.0,0.4403684,0.5808,8451.561,45.628563
42,VITS - eta: 10,179,0.65384614,26.0,105.0,10.0,105.0,0.47500667,0.6488,8486.267,34.705814
42,VITS - eta: 10,180,0.6442308,28.0,90.0,11.0,90.0,0.44009998,0.6144,8508.381,22.114344
42,VITS - eta: 10,181,0.625,25.0,95.0,11.0,95.0,0.29227367,0.6488,8528.289,19.908043
42,VITS - eta: 10,182,0.6442308,27.0,85.0,12.0,85.0,0.46817097,0.6656,8549.392,21.10253
42,VITS - eta: 10,183,0.63461536,9.0,65.0,9.0,64.0,0.2234,0.3928,8572.985,23.593676
42,VITS - eta: 10,184,0.6442308,12.0,105.0,9.0,104.0,0.3721375,0.632,8603.293,30.307154
42,VITS - eta: 10,185,0.63461536,12.0,70.0,10.0,69.0,0.36642855,0.4184,8632.086,28.792536
42,VITS - eta: 10,186,0.6442308,12.0,90.0,10.0,89.0,0.45554566,0.5464,8658.07,25.9839
42,VITS - eta: 10,187,0.6442308,17.0,90.0,11.0,90.0,0.44009998,0.6144,8689.441,31.370697
42,VITS - eta: 10,188,0.6442308,20.0,75.0,11.0,75.0,0.43245918,0.5122667,8710.923,21.481516
42,VITS - eta: 10,189,0.6442308,9.0,105.0,9.0,105.0,0.3125,0.632,8734.508,23.58465
42,VITS - eta: 10,190,0.6442308,20.0,85.0,9.0,85.0,0.27789167,0.5208,8760.966,26.458256
42,VITS - eta: 10,191,0.63461536,18.0,55.0,9.0,54.0,0.31418183,0.33306667,8785.144,24.177801
42,VITS - eta: 10,192,0.66346157,14.0,105.0,10.0,104.0,0.47393027,0.632,8818.303,33.159653
42,VITS - eta: 10,193,0.625,19.0,55.0,10.0,54.0,0.32882273,0.33306667,8853.396,35.093987
42,VITS - eta: 10,194,0.6442308,19.0,100.0,11.0,99.0,0.47500667,0.6656,8895.364,41.96771
42,VITS - eta: 10,195,0.63461536,29.0,70.0,11.0,69.0,0.42886874,0.4696,8948.173,52.80838
42,VITS - eta: 10,196,0.6442308,23.0,95.0,12.0,94.0,0.5075979,0.7344,8990.369,42.195915
42,VITS - eta: 10,197,0.625,15.0,85.0,12.0,85.0,0.30443078,0.6656,9017.015,26.645231
42,VITS - eta: 10,198,0.61538464,21.0,50.0,12.0,49.0,0.36015862,0.38426667,9039.089,22.074108
42,VITS - eta: 10,199,0.625,25.0,50.0,13.0,49.0,0.38812158,0.42693335,9070.2295,31.140274
42,VITS - eta: 10,200,0.63461536,11.0,65.0,11.0,64.0,0.3927375,0.43546668,9107.428,37.197803
42,VITS - eta: 10,201,0.625,12.0,55.0,12.0,55.0,0.39027333,0.42693335,9155.674,48.24638
42,VITS - eta: 10,202,0.63461536,21.0,85.0,12.0,84.0,0.46817097,0.6488,9221.502,65.828514
42,VITS - eta: 10,203,0.63461536,24.0,65.0,13.0,64.0,0.4294143,0.5632,9283.361,61.85899
42,VITS - eta: 10,204,0.6442308,26.0,90.0,13.0,89.0,0.53296,0.7856,9325.181,41.818867
42,VITS - eta: 10,205,0.6442308,17.0,100.0,13.0,100.0,0.5344857,0.88773334,9353.149,27.968477
42,VITS - eta: 10,206,0.63461536,25.0,85.0,14.0,85.0,0.5331042,0.45253333,9375.213,22.063864
42,VITS - eta: 10,207,0.6442308,9.0,80.0,9.0,80.0,0.41703847,0.48666668,9397.746,22.532946
42,VITS - eta: 10,208,0.63461536,19.0,85.0,10.0,85.0,0.45554566,0.5208,9420.411,22.66492
42,VITS - eta: 10,209,0.6442308,12.0,85.0,10.0,85.0,0.45554566,0.5208,9445.425,25.013906
42,VITS - eta: 10,210,0.625,15.0,50.0,10.0,49.0,0.29637858,0.29893333,9465.32,19.895592
42,VITS - eta: 10,211,0.625,28.0,55.0,11.0,55.0,0.32934666,0.37573335,9508.679,43.35822
